a,b,c,d,e,f,g,h,i,j,k
15,926,1838,2343,3661,4560,5474,6390,7304,8202,9114
21,936,1864,2350,3667,4560,5475,6391,7311,8231,9116
59,953,1886,2353,3679,4570,5476,6395,7314,8261,9156
59,960,1888,2364,3684,4570,5477,6395,7316,8261,9161
62,988,1893,2374,3696,4577,5480,6424,7324,8275,9162
69,989,1915,2376,3699,4582,5500,6427,7330,8279,9171
71,992,1927,2382,3703,4582,5507,6427,7365,8282,9173
95,1022,1969,2388,3705,4583,5507,6441,7365,8301,9180
112,1024,1975,2393,3724,4594,5519,6443,7365,8302,9181
120,1031,1977,2396,3730,4600,5536,6460,7366,8302,9193
137,1035,1983,2410,3731,4602,5544,6471,7382,8308,9194
139,1042,2003,2416,3749,4612,5544,6479,7405,8310,9204
139,1043,2006,2423,3750,4666,5568,6505,7406,8328,9214
140,1049,2018,2426,3759,4678,5621,6518,7428,8340,9215
156,1090,2027,2428,3773,4693,5626,6528,7430,8345,9215
165,1091,2030,2448,3773,4694,5638,6537,7433,8360,9240
171,1099,2032,2458,3811,4698,5640,6542,7440,8366,9242
185,1107,2032,2465,3847,4701,5642,6552,7442,8367,9247
187,1112,2044,2469,3850,4701,5645,6556,7443,8388,9249
187,1129,2048,2480,3862,4704,5661,6579,7464,8402,9273
188,1132,2055,2481,3863,4707,5690,6592,7483,8416,9274
188,1138,2060,2487,3874,4720,5707,6597,7499,8450,9274
190,1143,2068,2502,3883,4725,5708,6597,7500,8459,9278
193,1144,2091,2507,3895,4728,5711,6598,7506,8477,9282
197,1151,2099,2510,3907,4738,5713,6622,7517,8492,9283
203,1152,2104,2512,3923,4741,5731,6635,7539,8516,9293
204,1153,2115,2530,3931,4743,5735,6665,7542,8527,9304
245,1155,2123,2545,3935,4747,5737,6675,7545,8536,9305
252,1167,2131,2554,3935,4754,5739,6679,7554,8539,9313
262,1206,2147,2561,3938,4762,5742,6680,7559,8541,9314
267,1215,2154,2562,3938,4768,5743,6682,7562,8556,9315
280,1219,2177,2576,3947,4775,5745,6707,7567,8557,9329
292,1220,2177,2578,3951,4782,5746,6712,7574,8563,9341
307,1223,2243,2609,3970,4784,5748,6713,7577,8591,9344
313,1227,2243,2611,3981,4786,5748,6714,7589,8603,9371
328,1230,2245,2618,3994,4790,5755,6714,7596,8607,9374
329,1234,2247,2625,4002,4817,5792,6747,7597,8613,9403
338,1257,2253,2651,4030,4838,5801,6754,7608,8619,9404
339,1265,2273,2655,4050,4846,5812,6754,7627,8631,9406
341,1272,2279,2669,4061,4850,5820,6788,7649,8632,9417
342,1280,2282,2682,4064,4851,5828,6788,7653,8638,9430
345,1284,2294,2692,4075,4855,5874,6790,7667,8667,9453
353,1298,2298,2702,4098,4859,5878,6820,7682,8675,9469
362,1304,2301,2711,4108,4870,5896,6836,7687,8677,9474
375,1306,2316,2734,4116,4874,5902,6868,7689,8683,9489
380,1307,,2739,4119,4879,5932,6874,7701,8686,9505
381,1329,,2751,4128,4886,5939,6887,7705,8687,9510
392,1342,,2757,4146,4897,5951,6927,7724,8702,9524
411,1371,,2758,4161,4901,5952,6929,7725,8731,9528
429,1378,,2814,4161,4909,5956,6930,7729,8744,9535
440,1384,,2815,4171,4925,5975,6945,7777,8754,9538
448,1385,,2823,4193,4939,5991,6978,7778,8758,9563
450,1405,,2840,4194,4945,5999,6990,7795,8767,9570
450,1434,,2856,4195,4951,6021,6990,7798,8776,9586
472,1435,,2873,4198,4954,6028,7001,7803,8789,9589
487,1449,,2877,4205,4955,6033,7006,7819,8802,9594
496,1458,,2882,4211,4991,6045,7043,7844,8809,9598
523,1459,,2917,4256,4992,6053,7044,7846,8820,9599
527,1478,,2918,4260,5002,6059,7087,7866,8821,9603
537,1491,,2918,4266,5002,6065,7090,7868,8821,9604
538,1496,,2919,4280,5015,6075,7114,7872,8824,9630
548,1498,,2929,4284,5016,6078,7119,7874,8828,9637
563,1498,,2931,4289,5044,6090,7130,7877,8834,9640
577,1500,,2940,4305,5045,6108,7136,7882,8839,9649
580,1508,,2940,4316,5051,6113,7158,7897,8842,9653
591,1525,,2942,4320,5063,6123,7165,7901,8851,9664
614,1529,,2945,4354,5091,6123,7181,7906,8852,9680
617,1547,,2947,4360,5101,6139,7197,7914,8854,9694
638,1550,,2967,4386,5103,6142,7203,7915,8863,9696
657,1553,,3000,4389,5109,6152,7215,7924,8874,9709
671,1554,,3014,4396,5123,6153,7226,7936,8877,9714
679,1559,,3025,4400,5126,6155,7233,7944,8881,9718
680,1560,,3026,4403,5150,6166,7235,7961,8882,9729
684,1565,,3040,4405,5163,6167,7238,7981,8884,9783
687,1585,,3066,4422,5171,6184,7240,7987,8904,9801
690,1607,,3143,4447,5207,6187,7245,7989,8905,9808
697,1609,,3146,4457,5211,6192,7259,7992,8935,9818
703,1641,,3174,4476,5212,6195,7275,8000,8938,9830
718,1642,,3182,4484,5215,6212,,8003,8949,9831
724,1695,,3183,4485,5221,6214,,8023,8957,9834
748,1716,,3201,4489,5221,6224,,8024,8964,9847
766,1716,,3209,4497,5229,6227,,8028,8968,9867
766,1733,,3221,4502,5230,6237,,8067,8969,9878
797,1749,,3235,4510,5241,6238,,8071,8972,9887
817,1773,,3239,4546,5249,6258,,8074,8980,9890
824,1776,,3240,4551,5254,6277,,8078,8995,9892
843,1784,,3269,4554,5257,6285,,8088,9042,9898
851,1787,,3283,4556,5260,6291,,8097,9050,9903
852,1802,,3285,,5264,6292,,8142,9050,9931
876,1803,,3298,,5285,6301,,8173,9056,9932
877,1810,,3298,,5296,6334,,8175,9062,9933
,1810,,3308,,5304,6336,,8175,9063,9963
,1817,,3333,,5336,6363,,,9067,9977
,1820,,3352,,5361,6364,,,9075,9977
,,,3359,,5363,6369,,,9094,9979
,,,3363,,5382,,,,9099,9983
,,,3396,,5383,,,,,
,,,3406,,5400,,,,,
,,,3415,,5401,,,,,
,,,3431,,5403,,,,,
,,,3448,,5416,,,,,
,,,3460,,5417,,,,,
,,,3461,,5438,,,,,
,,,3466,,5454,,,,,
,,,3468,,,,,,,
,,,3470,,,,,,,
,,,3484,,,,,,,
,,,3489,,,,,,,
,,,3492,,,,,,,
,,,3500,,,,,,,
,,,3507,,,,,,,
,,,3543,,,,,,,
,,,3547,,,,,,,
,,,3553,,,,,,,
,,,3554,,,,,,,
,,,3570,,,,,,,
,,,3592,,,,,,,
,,,3592,,,,,,,
,,,3604,,,,,,,
,,,3633,,,,,,,
,,,3649,,,,,,,
